rank,slug,name_kr,name_en,zone,change,comp,margin,summary
1,k-beauty,K-뷰티,K-Beauty,red,2,5,35,리들샷·PDRN 등 성분 중심 K-뷰티가 시장 견인. 신제품 사이클이 빨라 경쟁이 치열함.
2,k-pop-albums-goods,K팝 앨범/굿즈,K-pop Albums/Goods,red,5,5,20,5세대 아이돌 앨범 초동 판매량이 급증하며 수요 폭발. 포토카드 등 미개봉 앨범 특전 경쟁이 핵심.
3,korean-instant-noodles,한국 인스턴트 라면,Korean Instant Noodles,red,-1,5,18,"불닭볶음면 시리즈의 인기가 여전하며, 신규 매운맛 라면 출시가 활발. 배송비를 고려한 번들 판매가 유리함."
4,k-fashion-streetwear,K-패션 (스트릿웨어),K-Fashion (Streetwear),red,3,4,40,"Y2K, 고프코어 트렌드가 지속되며 관련 브랜드 수요 높음. 사이즈 이슈 및 반품 관리가 중요."
5,korean-snacks,한국 과자,Korean Snacks,red,0,4,25,"약과, 탕후루 등 전통 간식의 현대적 재해석 제품이 인기. 다양한 상품을 묶은 스낵박스 구성이 효과적."
6,k-stationery,K-문구 (다꾸/스티커),K-Stationery (Diaries/Stickers),blue,4,3,55,"'다꾸(다이어리 꾸미기)' 문화에 대한 해외 팬덤 형성. 작가별, 컨셉별 묶음 판매가 반응이 좋음."
7,korean-health-supplements,한국 건강기능식품,Korean Health Supplements,blue,7,3,45,"홍삼, 콜라겐, 글루타치온 등 이너뷰티 제품군 성장세. 성분 및 효능에 대한 정확한 정보 제공이 필수."
8,webtoon-manhwa-goods,웹툰/만화 굿즈,Webtoon/Manhwa Goods,blue,6,3,50,"인기 웹툰의 단행본, 아크릴 스탠드 등 굿즈 수요 증가. 펀딩 한정판 제품은 높은 리셀가를 형성."
9,korean-traditional-crafts,한국 전통 공예품,Korean Traditional Crafts,blue,-2,2,65,"자개 보석함, 한지 공예품 등 한국적 미를 담은 상품이 인기. 제품의 스토리텔링이 구매 전환율을 높임."
10,korean-kitchenware,한국 주방용품,Korean Kitchenware,blue,1,3,40,"뚝배기, 곱돌 불판 등 한식 조리도구에 대한 관심 증가. 모던한 디자인의 제품들이 좋은 반응을 얻고 있음."
11,k-pop-unofficial-goods,K팝 비공식 굿즈,K-pop Unofficial Goods,blue,8,4,60,"팬들이 직접 제작한 키링, 탑로더 등 비공식 굿즈 시장 활성화. 저작권 및 초상권 이슈에 유의해야 함."
12,korean-baby-products,한국 유아용품,Korean Baby Products,blue,3,2,38,"안전 인증을 받은 유아용 스킨케어, 식기류에 대한 신뢰도가 높음. 친환경 소재를 강조하는 것이 효과적."
13,korean-instant-coffee,한국 인스턴트 커피,Korean Instant Coffee,blue,-3,3,30,"한국 특유의 달콤한 믹스커피에 대한 고정 수요층 존재. 디카페인, 저칼로리 등 신제품 라인업이 인기."
14,korean-socks,한국 양말,Korean Socks,blue,1,2,70,독특한 캐릭터와 패턴 디자인이 강점. 가격이 저렴해 다른 상품과 합배송 판매 전략이 유효함.
15,korean-pet-supplies,한국 반려동물 용품,Korean Pet Supplies,blue,5,2,48,디자인이 예쁜 반려동물 의류와 기능성 간식 수요 증가. 인플루언서 마케팅이 효과적인 카테고리.
16,k-drama-ost-dvd,K-드라마 OST/DVD,K-DRAMA OST/DVD,blue,-1,2,35,글로벌 OTT 플랫폼을 통해 방영된 인기 드라마의 OST 앨범 및 감독판 DVD가 꾸준히 판매됨.
17,korean-liquor-goods,한국 주류 굿즈,Korean Liquor Goods,blue,9,1,55,"소주잔, 막걸리잔 등 주류 관련 굿즈에 대한 관심 증가. 주류 판매 라이선스 없이도 접근 가능해 진입장벽이 낮음."
18,korean-fishing-gear,한국 낚시용품,Korean Fishing Gear,blue,2,1,42,한국산 낚싯대와 릴의 품질이 해외 낚시 동호인들에게 입소문. 전문가용 고가 라인업이 마진이 높음.
19,temple-stay-souvenirs,템플스테이 기념품,Temple Stay Souvenirs,blue,4,1,68,"염주, 명상용품 등 템플스테이 관련 기념품이 웰빙, 힐링 트렌드와 맞물려 인기. 독점 공급처 확보가 관건."
20,korean-calligraphy-supplies,한국 서예용품,Korean Calligraphy Supplies,blue,0,1,58,"붓, 벼루, 화선지 등 서예 용품에 대한 수요가 서예 동호회 중심으로 꾸준히 발생. 전문가용 세트 구성이 유리."
